State,District,Year,Crop,Area,Production,Yield,Annual_Rainfall
Andaman and Nicobar Islands,NICOBAR,2012,Banana,241.0,2034.0,8.439834024896266,5815.4
Andaman and Nicobar Islands,NICOBAR,2012,Coconut,14650.0,89800000.0,6129.6928327645055,5815.4
Andaman and Nicobar Islands,NICOBAR,2012,Tapioca,61.0,523.0,8.573770491803279,5815.4
Andaman and Nicobar Islands,NICOBAR,2013,Banana,170.0,1300.5,7.65,6011.0
Andaman and Nicobar Islands,NICOBAR,2013,Coconut,14655.0,96200000.0,6564.31252132378,6011.0
Andaman and Nicobar Islands,NICOBAR,2013,Tapioca,22.0,195.3,8.877272727272727,6011.0
Andaman and Nicobar Islands,NICOBAR,2014,Banana,170.5,1570.0,9.208211143695015,1504.2
Andaman and Nicobar Islands,NICOBAR,2014,Coconut,14673.0,95300000.0,6494.922647038778,1504.2
Andaman and Nicobar Islands,NICOBAR,2014,Tapioca,46.0,527.3,11.463043478260868,1504.2
Andaman and Nicobar Islands,NICOBAR,2015,Banana,517.0,1920.0,3.713733075435203,2362.8
Andaman and Nicobar Islands,NICOBAR,2015,Coconut,14676.0,94500000.0,6439.084219133279,2362.8
Andaman and Nicobar Islands,NICOBAR,2015,Tapioca,54.5,745.0,13.669724770642201,2362.8
Andaman and Nicobar Islands,NICOBAR,2016,Banana,679.5,1495.0,2.2001471670345842,5873.0
Andaman and Nicobar Islands,NICOBAR,2016,Coconut,14840.0,96200000.0,6482.4797843665765,5873.0
Andaman and Nicobar Islands,NICOBAR,2016,Tapioca,72.0,297.0,4.125,5873.0
Andaman and Nicobar Islands,NICOBAR,2017,Banana,790.0,46.0,0.05822784810126582,2996.1
Andaman and Nicobar Islands,NICOBAR,2017,Coconut,13695.0,98130000.0,7165.38882803943,2996.1
Andaman and Nicobar Islands,NICOBAR,2017,Tapioca,48.3,416.1,8.614906832298137,2996.1
Andaman and Nicobar Islands,NICOBAR,2018,Banana,803.57,82.78,0.103015294249412,1641.7
Andaman and Nicobar Islands,NICOBAR,2018,Coconut,13728.0,70360000.0,5125.2913752913755,1641.7
Andaman and Nicobar Islands,NICOBAR,2018,Tapioca,45.11,304.42,6.748392817557083,1641.7
Andaman and Nicobar Islands,NICOBAR,2019,Banana,932.38,609.06,0.6532315150475128,2396.1
Andaman and Nicobar Islands,NICOBAR,2019,Coconut,15728.0,89060000.0,5662.512716174974,2396.1
Andaman and Nicobar Islands,NICOBAR,2019,Tapioca,61.11,474.42,7.7633775159548355,2396.1
Andaman and Nicobar Islands,NICOBAR,2020,Banana,409.83,752.97,1.8372739916550767,3853.6
Andaman and Nicobar Islands,NICOBAR,2020,Coconut,13748.0,99859000.0,7263.529240616817,3853.6
Andaman and Nicobar Islands,NORTH & MIDDLE ANDAMAN,2010,Banana,657.0,7968.0,12.127853881278538,2080.9
