State,Crop_District_Original,Auto_Suggestion,CORRECT_NAME_FROM_DB
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,NICOBAR,NICOBAR
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,NORTH & MIDDLE ANDAMAN,NORTH & MIDDLE ANDAMAN
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,SOUTH ANDAMAN,SOUTH ANDAMAN
ANDHRA PRADESH,ANANTAPUR,ANATAPUR,ANATAPUR
ANDHRA PRADESH,KADAPA,KADDAPA,KADDAPA
ANDHRA PRADESH,SPSR NELLORE,NELLORE,NELLORE
ANDHRA PRADESH,VISAKHAPATANAM,VISAKHAPATNAM,VISAKHAPATNAM
ANDHRA PRADESH,VIZIANAGARAM,ANATAPUR,ANATAPUR
ARUNACHAL PRADESH,ANJAW,PAPUM PARE,PAPUM PARE
ARUNACHAL PRADESH,CHANGLANG,EAST SIANG,EAST SIANG
ARUNACHAL PRADESH,DIBANG VALLEY,PAPUM PARE,PAPUM PARE
ARUNACHAL PRADESH,EAST KAMENG,EAST SIANG,EAST SIANG
ARUNACHAL PRADESH,KAMLE,PAPUM PARE,PAPUM PARE
ARUNACHAL PRADESH,KRA DAADI,PAPUM PARE,PAPUM PARE
ARUNACHAL PRADESH,KURUNG KUMEY,PAPUM PARE,PAPUM PARE
ARUNACHAL PRADESH,LEPARADA,PAPUM PARE,PAPUM PARE
ARUNACHAL PRADESH,LOHIT,TIRAP,TIRAP
ARUNACHAL PRADESH,LONGDING,EAST SIANG,EAST SIANG
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,EAST SIANG,EAST SIANG
ARUNACHAL PRADESH,LOWER SIANG,EAST SIANG,EAST SIANG
ARUNACHAL PRADESH,LOWER SUBANSIRI,EAST SIANG,EAST SIANG
ARUNACHAL PRADESH,NAMSAI,PAPUM PARE,PAPUM PARE
ARUNACHAL PRADESH,PAKKE KESSANG,EAST SIANG,EAST SIANG
ARUNACHAL PRADESH,SHI YOMI,EAST SIANG,EAST SIANG
ARUNACHAL PRADESH,SIANG,EAST SIANG,EAST SIANG
ARUNACHAL PRADESH,TAWANG,EAST SIANG,EAST SIANG
ARUNACHAL PRADESH,UPPER SIANG,EAST SIANG,EAST SIANG
ARUNACHAL PRADESH,UPPER SUBANSIRI,EAST SIANG,EAST SIANG
ARUNACHAL PRADESH,WEST KAMENG,EAST SIANG,EAST SIANG
ARUNACHAL PRADESH,WEST SIANG,EAST SIANG,EAST SIANG
ASSAM,BAKSA,DIMA HASAO,DIMA HASAO
ASSAM,BARPETA,KAMRUP (METRO),KAMRUP (METRO)
ASSAM,BISWANATH,SONITPUR,SONITPUR
ASSAM,BONGAIGAON,NOWGAON,NOWGAON
ASSAM,CHARAIDEO,CACHAR,CACHAR
ASSAM,CHIRANG,DARRANG,DARRANG
ASSAM,DHEMAJI,DHUBRI,DHUBRI
ASSAM,HAILAKANDI,GOALPARA,GOALPARA
ASSAM,HOJAI,JORHAT,JORHAT
ASSAM,KAMRUP,KAMRUP (RURAL),KAMRUP (RURAL)
ASSAM,KAMRUP METRO,KAMRUP (METRO),KAMRUP (METRO)
ASSAM,KARBI ANGLONG,DARRANG,DARRANG
ASSAM,KARIMGANJ,DARRANG,DARRANG
ASSAM,KOKRAJHAR,CACHAR,CACHAR
ASSAM,MAJULI,UDALGURI,UDALGURI
ASSAM,MARIGAON,NOWGAON,NOWGAON
ASSAM,NAGAON,NOWGAON,NOWGAON
ASSAM,NALBARI,UDALGURI,UDALGURI
ASSAM,SIVASAGAR,DIBRUGARH,DIBRUGARH
ASSAM,SOUTH SALMARA MANCACHAR,CACHAR,CACHAR
ASSAM,TINSUKIA,DIBRUGARH,DIBRUGARH
ASSAM,WEST KARBI ANGLONG,DARRANG,DARRANG
BIHAR,ARWAL,SARAN,SARAN
BIHAR,AURANGABAD,DARBHANGA,DARBHANGA
BIHAR,BANKA,PATNA,PATNA
BIHAR,BEGUSARAI,SARAN,SARAN
BIHAR,BHOJPUR,BHAGALPUR,BHAGALPUR
BIHAR,BUXAR,BHAGALPUR,BHAGALPUR
BIHAR,GOPALGANJ,SARAN,SARAN
BIHAR,JAMUI,ARARIA,ARARIA
BIHAR,JEHANABAD,DARBHANGA,DARBHANGA
BIHAR,KAIMUR (BHABUA),DARBHANGA,DARBHANGA
BIHAR,KATIHAR,PATNA,PATNA
BIHAR,KHAGARIA,ARARIA,ARARIA
BIHAR,KISHANGANJ,DARBHANGA,DARBHANGA
BIHAR,LAKHISARAI,SARAN,SARAN
BIHAR,MADHEPURA,PURNEA,PURNEA
BIHAR,MADHUBANI,DARBHANGA,DARBHANGA
BIHAR,MUNGER,MUZAFFARPUR,MUZAFFARPUR
BIHAR,NALANDA,SARAN,SARAN
BIHAR,NAWADA,ARARIA,ARARIA
BIHAR,PASHCHIM CHAMPARAN,SARAN,SARAN
BIHAR,PURBI CHAMPARAN,SARAN,SARAN
BIHAR,PURNIA,PURNEA,PURNEA
